tiro,x,y,z,enceste
1,-36,856,-696,1
1,-60,752,-500,1
1,-36,804,-592,1
1,-68,840,-544,1
1,-40,828,-564,1
1,-32,824,-580,1
1,-40,848,-616,1
1,8,820,-664,1
1,-12,856,-532,1
1,-24,788,-524,1
1,8,964,-636,1
1,-4,792,-584,1
1,40,836,-548,1
1,12,824,-560,1
1,12,836,-548,1
1,4,836,-556,1
1,0,840,-540,1
1,12,836,-548,1
1,20,828,-568,1
1,16,840,-548,1
1,12,816,-576,1
1,28,848,-568,1
1,-4,840,-540,1
1,12,844,-552,1
1,20,816,-556,1
1,36,828,-576,1
1,24,828,-540,1
1,20,856,-540,1
1,16,824,-536,1
1,28,836,-552,1
1,44,836,-532,1
1,48,828,-552,1
1,48,836,-548,1
1,20,832,-544,1
1,32,852,-564,1
1,52,828,-632,1
1,80,836,-732,1
1,72,828,-548,1
1,-16,864,-432,1
1,12,836,-676,1
1,-68,800,-512,1
1,0,820,-528,1
2,-60,768,-612,0
2,-56,748,-556,0
2,-56,740,-760,0
2,-80,772,-612,0
2,-28,756,-608,0
2,-8,744,-676,0
2,-96,796,-644,0
2,-56,760,-632,0
2,-40,792,-608,0
2,-52,800,-580,0
2,-20,804,-584,0
2,-8,768,-688,0
2,-8,792,-688,0
2,-8,776,-592,0
2,-12,788,-608,0
2,-44,796,-596,0
2,-16,812,-628,0
2,-12,780,-604,0
2,-16,784,-620,0
2,-12,784,-620,0
2,0,800,-612,0
2,-8,812,-604,0
2,-4,788,-624,0
2,-4,812,-608,0
2,0,808,-608,0
2,-8,784,-604,0
2,-8,796,-584,0
2,0,792,-616,0
2,-12,800,-628,0
2,-8,788,-608,0
2,-12,800,-624,0
2,-20,788,-596,0
2,-4,800,-620,0
2,-4,808,-628,0
2,-16,804,-588,0
2,-4,792,-628,0
2,0,784,-628,0
2,-4,796,-600,0
2,-8,804,-616,0
2,-20,796,-600,0
2,-8,792,-620,0
2,-12,784,-620,0
2,-8,784,-600,0
2,-20,812,-600,0
2,-20,792,-636,0
2,-4,792,-624,0
2,-20,800,-588,0
2,-36,792,-568,0
2,-12,792,-596,0
2,-16,784,-616,0
2,-28,780,-584,0
2,-28,788,-624,0
